keyword,volume,kd,intent,source,target_url
english past papers,2400,30,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/english-literature
physics as and a level,2400,36,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/physics/aqa
physics paper 1 topics,2400,32,informational,strategy-csv,https://www.past-papers.co.uk/a-level/physics/aqa
aqa english literature paper 2,2400,24,informational,strategy-csv,https://www.past-papers.co.uk/gcse/english-literature/aqa
higher chemistry past papers,2400,23,informational,strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/ocr
gcse english language,2400,38,informational,strategy-csv,https://www.past-papers.co.uk/gcse
is the number 2 a prime number,2400,42,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/prime-numbers
geo quiz questions,2400,39,commercial,strategy-csv,https://www.past-papers.co.uk/gcse/geography/aqa
physics revision,2400,41,informational,strategy-csv,https://www.past-papers.co.uk/a-level/physics/ocr
chemistry revision,2400,40,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/chemistry/edexcel
gcse chemistry,2400,34,informational,strategy-csv,https://www.past-papers.co.uk/gcse/chemistry
chemistry paper 1 topics,2400,27,informational,strategy-csv,https://www.past-papers.co.uk/gcse/chemistry
geography paper 1,2400,28,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/a-level/geography
basic interest formula,2400,51,informational,strategy-csv,https://www.past-papers.co.uk/gcse/maths/edexcel/number/compound-interest
gcse science,2400,44,informational,strategy-csv,https://www.past-papers.co.uk/gcse/combined-science
a level edexcel business past papers,1900,16,Informational,edexcel-past-papers,
edexcel a level geography past papers,1900,24,Informational,edexcel-past-papers,
edexcel business gcse past papers,1900,30,"Informational, Commercial",edexcel-past-papers,
edexcel english language past papers,1900,23,"Informational, Commercial",edexcel-past-papers,
edexcel igcse maths past papers,1900,24,"Informational, Commercial",edexcel-past-papers,
aqa a level economics past papers,1900,23,Informational,aqa-past-papers,
aqa a level physics past papers,1900,25,"Informational, Commercial",aqa-past-papers,
aqa english gcse past papers,1900,37,Informational,aqa-past-papers,
aqa english language paper 1 past papers,1900,32,"Informational, Commercial",aqa-past-papers,
aqa english past papers,1900,38,Informational,aqa-past-papers,
aqa foundation maths past papers,1900,29,"Informational, Commercial",aqa-past-papers,
aqa further maths gcse past papers,1900,20,"Informational, Commercial",aqa-past-papers,
aqa gcse english literature past papers,1900,28,"Informational, Commercial",aqa-past-papers,
aqa gcse foundation maths past papers,1900,29,"Informational, Commercial",aqa-past-papers,
aqa geography past papers,1900,35,Informational,aqa-past-papers,
aqa maths gcse past papers,1900,39,"Informational, Commercial",aqa-past-papers,
aqa past biology papers,1900,27,"Informational, Commercial",aqa-past-papers,
aqa psychology past papers,1900,34,Informational,aqa-past-papers,
aqa spanish gcse past papers,1900,32,Informational,aqa-past-papers,
biology aqa past papers,1900,28,"Informational, Commercial",aqa-past-papers,
business aqa a level past papers,1900,16,"Informational, Commercial",aqa-past-papers,
english language aqa past papers,1900,36,Informational,aqa-past-papers,
geography aqa past papers,1900,37,Informational,aqa-past-papers,
maths past papers aqa,1900,40,"Informational, Commercial",aqa-past-papers,
rs aqa past papers gcse,1900,20,"Informational, Commercial",aqa-past-papers,
sociology aqa a level past papers,1900,26,Informational,aqa-past-papers,
chemistry aqa past paper,1900,27,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/chemistry/aqa
a level sociology past papers,1900,17,"Informational, Commercial",a-level-past-papers,
gce a level chemistry past papers,1900,23,"Informational, Commercial",a-level-past-papers,
gce a level physics past papers,1900,27,"Informational, Commercial",a-level-past-papers,
ocr a level biology past papers,1900,18,Informational,a-level-past-papers,
ocr a level maths past papers,1900,27,Informational,a-level-past-papers,
ocr a level pe past papers,1900,17,Informational,a-level-past-papers,
psychology a level past papers,1900,19,"Informational, Commercial",a-level-past-papers,
biology gcse past papers,1900,29,"Informational, Commercial",gcse-past-papers,
english language gcse past papers,1900,28,"Informational, Commercial",gcse-past-papers,
gcse past papers maths,1900,39,"Informational, Commercial",gcse-past-papers,
gcse physics past papers,1900,27,"Informational, Commercial",gcse-past-papers,
past papers for maths gcse,1900,38,"Informational, Commercial",gcse-past-papers,
gcse further maths past papers,1900,19,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/further-maths
gcse ccea past papers,1900,26,navigational,strategy-csv,https://www.past-papers.co.uk/gcse
aqa as chemistry specification,1900,28,navigational,strategy-csv,https://www.past-papers.co.uk/gcse/chemistry/aqa
physics past paper,1900,29,informational,strategy-csv,https://www.past-papers.co.uk/gcse/physics
gcse physics,1900,36,"informational, commercial",strategy-csv,https://www.past-papers.co.uk/gcse/physics
computer science gcse,1900,26,informational,strategy-csv,https://www.past-papers.co.uk/gcse/computer-science
biology paper 1 past papers,1900,30,informational,strategy-csv,https://www.past-papers.co.uk/gcse/biology
a level further maths,1900,29,informational,strategy-csv,https://www.past-papers.co.uk/a-level/further-maths
advanced level maths past papers,1900,37,informational,strategy-csv,https://www.past-papers.co.uk/a-level/further-maths
